Schedule_ID,Route_Code,Stop_ID,Trip_Number,Direction,Operating_Days,Departure_Time
SCH-BL-O09-08,BLUE,B-08,9,Outbound,Daily,15:34
SCH-BL-O09-09,BLUE,B-09,9,Outbound,Daily,15:37
SCH-BL-O09-10,BLUE,B-10,9,Outbound,Daily,15:50
SCH-BL-O10-01,BLUE,B-01,10,Outbound,Daily,16:00
SCH-BL-O10-02,BLUE,B-02,10,Outbound,Daily,16:01
SCH-BL-O10-03,BLUE,B-03,10,Outbound,Daily,16:01
SCH-BL-O10-04,BLUE,B-04,10,Outbound,Daily,16:02
SCH-BL-O10-05,BLUE,B-05,10,Outbound,Daily,16:02
SCH-BL-O10-06,BLUE,B-06,10,Outbound,Daily,16:02
SCH-BL-O10-07,BLUE,B-07,10,Outbound,Daily,16:03
SCH-BL-O10-08,BLUE,B-08,10,Outbound,Daily,16:04
SCH-BL-O10-09,BLUE,B-09,10,Outbound,Daily,16:07
SCH-BL-O10-10,BLUE,B-10,10,Outbound,Daily,16:20
SCH-BL-O11-01,BLUE,B-01,11,Outbound,Daily,16:30
SCH-BL-O11-02,BLUE,B-02,11,Outbound,Daily,16:31
SCH-BL-O11-03,BLUE,B-03,11,Outbound,Daily,16:31
SCH-BL-O11-04,BLUE,B-04,11,Outbound,Daily,16:32
SCH-BL-O11-05,BLUE,B-05,11,Outbound,Daily,16:32
SCH-BL-O11-06,BLUE,B-06,11,Outbound,Daily,16:32
SCH-BL-O11-07,BLUE,B-07,11,Outbound,Daily,16:33
SCH-BL-O11-08,BLUE,B-08,11,Outbound,Daily,16:34
SCH-BL-O11-09,BLUE,B-09,11,Outbound,Daily,16:37
SCH-BL-O11-10,BLUE,B-10,11,Outbound,Daily,16:50
SCH-BL-O12-01,BLUE,B-01,12,Outbound,Daily,17:00
SCH-BL-O12-02,BLUE,B-02,12,Outbound,Daily,17:01
SCH-BL-O12-03,BLUE,B-03,12,Outbound,Daily,17:01
SCH-BL-O12-04,BLUE,B-04,12,Outbound,Daily,17:02
SCH-BL-O12-05,BLUE,B-05,12,Outbound,Daily,17:02
SCH-BL-O12-06,BLUE,B-06,12,Outbound,Daily,17:02
SCH-BL-O12-07,BLUE,B-07,12,Outbound,Daily,17:03
SCH-BL-O12-08,BLUE,B-08,12,Outbound,Daily,17:04
SCH-BL-O12-09,BLUE,B-09,12,Outbound,Daily,17:07
SCH-BL-O12-10,BLUE,B-10,12,Outbound,Daily,17:20
SCH-BL-I01-10,BLUE,B-10,1,Inbound,Daily,08:35
SCH-BL-I01-09,BLUE,B-09,1,Inbound,Daily,08:36
SCH-BL-I01-08,BLUE,B-08,1,Inbound,Daily,08:37
SCH-BL-I01-07,BLUE,B-07,1,Inbound,Daily,08:40
SCH-BL-I01-11,BLUE,B-11,1,Inbound,Daily,08:42
SCH-BL-I01-12,BLUE,B-12,1,Inbound,Daily,08:42
SCH-BL-I01-01,BLUE,B-01,1,Inbound,Daily,08:45
SCH-BL-I02-10,BLUE,B-10,2,Inbound,Daily,09:05
SCH-BL-I02-09,BLUE,B-09,2,Inbound,Daily,09:06
SCH-BL-I02-08,BLUE,B-08,2,Inbound,Daily,09:07
SCH-BL-I02-07,BLUE,B-07,2,Inbound,Daily,09:10
SCH-BL-I02-11,BLUE,B-11,2,Inbound,Daily,09:12
SCH-BL-I02-12,BLUE,B-12,2,Inbound,Daily,09:12
SCH-BL-I02-01,BLUE,B-01,2,Inbound,Daily,09:15
SCH-BL-I03-10,BLUE,B-10,3,Inbound,Daily,09:35
SCH-BL-I03-09,BLUE,B-09,3,Inbound,Daily,09:36
SCH-BL-I03-08,BLUE,B-08,3,Inbound,Daily,09:37
SCH-BL-I03-07,BLUE,B-07,3,Inbound,Daily,09:40
SCH-BL-I03-11,BLUE,B-11,3,Inbound,Daily,09:42
SCH-BL-I03-12,BLUE,B-12,3,Inbound,Daily,09:42
SCH-BL-I03-01,BLUE,B-01,3,Inbound,Daily,09:45
SCH-BL-I04-10,BLUE,B-10,4,Inbound,Daily,10:05
SCH-BL-I04-09,BLUE,B-09,4,Inbound,Daily,10:06
SCH-BL-I04-08,BLUE,B-08,4,Inbound,Daily,10:07
SCH-BL-I04-07,BLUE,B-07,4,Inbound,Daily,10:10
SCH-BL-I04-11,BLUE,B-11,4,Inbound,Daily,10:12
SCH-BL-I04-12,BLUE,B-12,4,Inbound,Daily,10:12
SCH-BL-I04-01,BLUE,B-01,4,Inbound,Daily,10:15
SCH-BL-I05-10,BLUE,B-10,5,Inbound,Daily,10:35
SCH-BL-I05-09,BLUE,B-09,5,Inbound,Daily,10:36
SCH-BL-I05-08,BLUE,B-08,5,Inbound,Daily,10:37
SCH-BL-I05-07,BLUE,B-07,5,Inbound,Daily,10:40
SCH-BL-I05-11,BLUE,B-11,5,Inbound,Daily,10:42
SCH-BL-I05-12,BLUE,B-12,5,Inbound,Daily,10:42
SCH-BL-I05-01,BLUE,B-01,5,Inbound,Daily,10:45
SCH-BL-I06-10,BLUE,B-10,6,Inbound,Daily,11:05
SCH-BL-I06-09,BLUE,B-09,6,Inbound,Daily,11:06
SCH-BL-I06-08,BLUE,B-08,6,Inbound,Daily,11:07
SCH-BL-I06-07,BLUE,B-07,6,Inbound,Daily,11:10
SCH-BL-I06-11,BLUE,B-11,6,Inbound,Daily,11:12
SCH-BL-I06-12,BLUE,B-12,6,Inbound,Daily,11:12
SCH-BL-I06-01,BLUE,B-01,6,Inbound,Daily,11:15
SCH-BL-I07-10,BLUE,B-10,7,Inbound,Daily,12:35
SCH-BL-I07-09,BLUE,B-09,7,Inbound,Daily,12:36
SCH-BL-I07-08,BLUE,B-08,7,Inbound,Daily,12:37
SCH-BL-I07-07,BLUE,B-07,7,Inbound,Daily,12:40
SCH-BL-I07-11,BLUE,B-11,7,Inbound,Daily,12:42
SCH-BL-I07-12,BLUE,B-12,7,Inbound,Daily,12:42
SCH-BL-I07-01,BLUE,B-01,7,Inbound,Daily,12:45
SCH-BL-I08-10,BLUE,B-10,8,Inbound,Daily,14:05
SCH-BL-I08-09,BLUE,B-09,8,Inbound,Daily,14:06
SCH-BL-I08-08,BLUE,B-08,8,Inbound,Daily,14:07
SCH-BL-I08-07,BLUE,B-07,8,Inbound,Daily,14:10
SCH-BL-I08-11,BLUE,B-11,8,Inbound,Daily,14:12
SCH-BL-I08-12,BLUE,B-12,8,Inbound,Daily,14:12
SCH-BL-I08-01,BLUE,B-01,8,Inbound,Daily,14:15
SCH-BL-I09-10,BLUE,B-10,9,Inbound,Daily,16:05
SCH-BL-I09-09,BLUE,B-09,9,Inbound,Daily,16:06
SCH-BL-I09-08,BLUE,B-08,9,Inbound,Daily,16:07
SCH-BL-I09-07,BLUE,B-07,9,Inbound,Daily,16:40
SCH-BL-I09-11,BLUE,B-11,9,Inbound,Daily,16:12
SCH-BL-I09-12,BLUE,B-12,9,Inbound,Daily,16:12
SCH-BL-I09-01,BLUE,B-01,9,Inbound,Daily,16:15
SCH-BL-I10-10,BLUE,B-10,10,Inbound,Daily,16:35
SCH-BL-I10-09,BLUE,B-09,10,Inbound,Daily,16:36
SCH-BL-I10-08,BLUE,B-08,10,Inbound,Daily,16:37
SCH-BL-I10-07,BLUE,B-07,10,Inbound,Daily,16:40
SCH-BL-I10-11,BLUE,B-11,10,Inbound,Daily,16:42
SCH-BL-I10-12,BLUE,B-12,10,Inbound,Daily,16:42
SCH-BL-I10-01,BLUE,B-01,10,Inbound,Daily,16:45
SCH-BL-I11-10,BLUE,B-10,11,Inbound,Daily,17:05
SCH-BL-I11-09,BLUE,B-09,11,Inbound,Daily,17:06
SCH-BL-I11-08,BLUE,B-08,11,Inbound,Daily,17:07
SCH-BL-I11-07,BLUE,B-07,11,Inbound,Daily,17:10
SCH-BL-I11-11,BLUE,B-11,11,Inbound,Daily,17:12
SCH-BL-I11-12,BLUE,B-12,11,Inbound,Daily,17:12
SCH-BL-I11-01,BLUE,B-01,11,Inbound,Daily,17:15
SCH-BL-I12-10,BLUE,B-10,12,Inbound,Daily,17:35
SCH-BL-I12-09,BLUE,B-09,12,Inbound,Daily,17:36
SCH-BL-I12-08,BLUE,B-08,12,Inbound,Daily,17:37
SCH-BL-I12-07,BLUE,B-07,12,Inbound,Daily,17:40
